PLAYER NAME,PLAYING ROLE,BATTING STYLE,BOWLING STYLE,NATIONALITY,STARTING BIDDING PRICE
Varun Chakravarthy,Bowler,Right Hand Bat,Legbreak Googly,Indian,2
David Warner,Opening Batter,Left Hand Bat,Legbreak,Australian,5
Fabian Allen ,Bowling Allrounder,Right Hand Bat,Slow Left Arm Orthodox,West Indies,2
Jonny Bairstow,Wicketkeeper Batter,Right Hand Bat,Right Arm Medium,English,3
Rashid Khan,Bowler,Right Hand Bat,Legbreak Googly,Afghan,2
Kane Williamson,Top Order Batter,Right Hand Bat,Right Arm Offbreak,New Zealand,5
Manish Panday,Top Order Batter,Right Hand Bat,Slow Left Arm Orthodox,Indian,5
Wriddhiman Saha,Wicketkeeper Batter,Right Hand Bat,Right Hand Medium ,Indian,2
Sandeep Sharma ,Bowler,Right Hand Bat,Right Arm Medium ,Indian,2
Bavanaka Sandeep,Batter,Left Hand Bat,Slow Left Arm Orthodox,Indian,1
Prithvi Raj,Bowler,Left Hand Bat,Left Arm Medium ,Indian,0.5
Bhuvneshwar Kumar,Bowler,Right Hand Bat,Right Arm Medium ,Indian,3
Vijay Shankar,Allrounder,Right Hand Bat,Right Arm Medium,Indian,1
Priyam Garg,Top Order Batter,Right Hand Bat,Right Arm Medium ,Indian,3
Basil Thampi,Bowler,Right Hand Bat,Right Arm Fast Medium,Indian,2
Shreevats Goswami,Wicketkeeper Batter,Left Hand Bat,Right Arm Medium,Indian,1
Andrew Tye,Bowler,Right Hand Bat,Right Arm Medium Fast,Australian,3
Jos Buttler,Wicketkeeper Batter,Right Hand Bat,Right Arm Medium,English,3
David Miller,Middle Order Batter,Left Hand Bat,Right Arm Offbreak,South African,5
Ben Stokes,All Rounder,Left Hand Bat,Right Arm Fast Medium ,English,5
Jofra Archer,Bowler,Right Hand Bat,Right Arm Fast,English,3
Varun Aaron ,Bowler,Right Hand Bat,Right Arm Fast,Indian,3
Shreyas Gopal,All Rounder,Right Hand Bat,Legbreak,Indian,2
Kartik Tyagi,Bowler,Right Hand Bat,Right Arm Medium Fast,Indian,2
Sanju Sampson,Wicketkeeper Batter,Right Hand Bat,Right Arm Medium,Indian,3
Riyan Parag,Top Order Batter,Right Hand Bat,Legbreak,Indian,2
Jaydev Unadkat,Bowler,Right Hand Bat,Left Arm Medium,Indian,1
Manan Arora,Opening Batter,Right Hand Bat,Right Arm Medium,Indian,3
Ankit Rajpoot,Bowler,Right Hand Bat,Right Arm Medium,Indian,1
Shashank Singh,Batter,Right Hand Bat,Right Arm Offbreak,Indian,0.5
Rahul Tewatia,Bowler,Left Hand Bat,Legbreak ,Indian,0.5
Chris Gayle,All Rounder,Left Hand Bat,Right Arm Offbreak,West Indies,5
Moises Henriques,All Rounder,Right Hand Bat,Right Arm Fast Medium,Australian,3
Chris Jordan,Bowler,Right Hand Bat,Right Arm Fast Medium,English,2
Riley Meredith,Bowler ,Right Hand Bat,Right Arm Fast,Australian,2
David Malan,Top Order Batter,Left Hand Bat,Legbreak,English,3
Arshdeep Singh,Bowler,Left Hand Bat,Left Arm Medium Fast,Indian,2
Murugan Ashwin ,Bowler,Right Hand Bat,Legbreak Googly,Indian,2
Deepak Hooda,All Rounder,Right Hand Bat,Right Arm Offbreak,Indian,0.5
Sarfaraz Khan,Middle Order Batter,Right Hand Bat,Legbreak,Indian,0.5
